Area;Price;Market;Rooms_num;Rent;District;Build_year;Garage;Lift;Basement;Balcony;Garden;Terrace;Floors_num;Floor_no;Construction_status;Latitude;Longitude;Link
51.65;581000;primary;3;;Lipa Piotrowska;;True;True;False;False;True;False;2;0;to_completion;51.172411;16.99929;https://www.otodom.pl/pl/oferta/poludniowa-wystawa-30m2-ogrodu-kameralnie-ID4p6qR
72.5;724270;primary;4;;Lipa Piotrowska;;True;True;False;False;True;False;2;0;to_completion;51.17451;16.99573;https://www.otodom.pl/pl/oferta/trojstronne-mieszkanie-z-ogrodkiemkameralnie-ID4p6qQ
49.0;628000;secondary;3;;Biskupin - Sępolno - Dąbie - Bartoszowice;1933;False;False;True;True;False;False;2;2;;51.10212;17.10417;https://www.otodom.pl/pl/oferta/biskupin-niska-zabudowa-49mkw-osobna-kuchnia-ID4p6qr
47.5;750000;secondary;2;580;Tarnogaj;2014;False;True;False;True;False;False;6;3;ready_to_use;51.0860061;17.0530353;https://www.otodom.pl/pl/oferta/2-pokoje-47m2-ul-nyska-ID4mA8L
20.0;350000;secondary;1;300;Borek;;False;False;True;True;False;False;4;4;;51.08083608;17.01624942;https://www.otodom.pl/pl/oferta/20m2-po-remoncie-zielona-okolica-balkon-o-miejskie-ID4p6px
58.6;791175;primary;3;;Krzyki - Partynice;2025;True;True;False;True;False;False;4;2;to_completion;51.077748052183;16.986704627567;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-58m2-2-balkony-ID4ocAx
67.0;849000;secondary;3;600;Jagodno;2017;True;False;False;True;False;False;4;0;ready_to_use;51.0515;17.065883;https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-3-pokoje-klima-balkon-ID4p6p2
84.0;1199000;secondary;4;1000;Strachocin - Swojczyce - Wojnów;2017;True;True;False;True;False;False;;2;ready_to_use;51.110012437407086;17.121446210975662;https://www.otodom.pl/pl/oferta/olimpia-port4pok2-miejsca-parkkom-lok-84m2-ID4p0bV
66.87;869000;secondary;3;600;;2017;True;False;False;True;False;False;3;2;ready_to_use;51.0508344;17.0068982;https://www.otodom.pl/pl/oferta/wysoka-67m2-2-miejsca-postojowe-komorka-lux-ID4p6oJ
51.2;921600;secondary;2;710;Nadodrze;2015;False;True;False;True;False;False;8;7;ready_to_use;51.118770293360726;17.027888067459127;https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-kurkowa-14-wroclaw-ID4oDAq
